id,name,lat,long,nbDocks
106,"Woodstock Street, Mayfair",51.51410514,-0.147301667,21
107,"Finsbury Leisure Centre, St. Luke's",51.52600832,-0.096317627,20
108,"Abbey Orchard Street, Westminster",51.49812559,-0.132102166,29
109,"Soho Square , Soho",51.51563144,-0.132328837,57
110,"Wellington Road, St. John's Wood",51.53304322,-0.172528678,17
111,"Park Lane , Hyde Park",51.5100172,-0.157275636,28
112,"Stonecutter Street, Holborn",51.51580998,-0.105270275,42
113,"Gloucester Road (Central), South Kensington",51.49646288,-0.183289032,19
114,"Park Road (Baker Street), The Regent's Park",51.52451738,-0.158963647,22
115,"Braham Street, Aldgate",51.51423368,-0.073537654,16
116,"Little Argyll Street, West End",51.51449962,-0.141423695,21
117,"Lollard Street, Vauxhall",51.49288067,-0.114934001,25
118,"Rochester Row, Westminster",51.49582705,-0.13547809,13
119,"Bath Street, St. Luke's",51.52589324,-0.090847761,18
120,"The Guildhall, Guildhall",51.51573534,-0.093080779,17
121,"Baker Street, Marylebone",51.51891348,-0.156166631,22
122,"Norton Folgate, Liverpool Street",51.52111369,-0.078869751,23
123,"St. John Street, Finsbury",51.52836014,-0.104724625,18
124,"Eaton Square, Belgravia",51.49654462,-0.150905245,20
125,"Borough High Street, The Borough",51.50069491,-0.094524319,21
126,"Museum of London, Barbican",51.51782144,-0.096496865,52
127,"Wood Street, Guildhall",51.51700801,-0.09388536,17
128,"Emperor's Gate, South Kensington",51.49536226,-0.185296516,22
129,"Golden Square, Soho",51.5118973,-0.137043852,18
130,"Tower Gardens , Tower",51.50950627,-0.075459482,24
131,"Eversholt Street , Camden Town",51.53300545,-0.136792671,16
132,"Bethnal Green Road, Shoreditch",51.52364804,-0.074754872,38
133,"Derry Street, Kensington",51.50136494,-0.191462381,18
134,"Wapping High Street, Wapping",51.504904,-0.06797,20
135,"Clerkenwell Green, Clerkenwell",51.52326004,-0.104708922,21
136,"Queen Victoria Street, St. Paul's",51.51196176,-0.097441687,32
138,"Green Street, Mayfair",51.51227622,-0.157436972,19
139,"Lambeth Road, Vauxhall",51.49488108,-0.117974901,18
140,"Finsbury Square , Moorgate",51.52096262,-0.085634242,33
141,"Chapel Place, Marylebone",51.51530805,-0.147203711,29
142,"West Cromwell Road, Earl's Court",51.49372451,-0.198286569,24
143,"Pont Street, Knightsbridge",51.4968865,-0.161203828,24
144,"Kennington Cross, Kennington",51.48894022,-0.111435796,47
145,"Ilchester Place, Kensington",51.50074359,-0.202759212,24
146,"Vauxhall Bridge , Pimlico",51.48836528,-0.129361842,35
148,"Tachbrook Street, Victoria",51.49211134,-0.138364847,16
149,"Kennington Road Post Office, Oval",51.48478899,-0.110683213,18
150,"Holy Trinity Brompton, Knightsbridge",51.49705603,-0.168917077,28
151,"Chepstow Villas, Notting Hill",51.51213691,-0.201554966,26
152,"Hampton Street, Walworth",51.49217002,-0.101536865,21
153,"Bayswater Road, Hyde Park",51.511933,-0.174411,27
154,"Waterloo Station 3, Waterloo",51.50379168,-0.11282408,35
155,"Lexham Gardens, Kensington",51.49586666,-0.191933711,19
156,"New Kent Road, The Borough",51.49443626,-0.092921165,33
157,"Wright's Lane, Kensington",51.50039792,-0.193068385,37
158,"Trebovir Road, Earl's Court",51.49085368,-0.196170309,18
159,"Great Marlborough Street, Soho",51.51461995,-0.137841333,39
160,"Waterloo Place, St. James's",51.50663341,-0.131773845,20
161,"Guildhouse Street, Victoria",51.49234577,-0.141334487,16
162,"Southampton Place, Holborn",51.51760685,-0.121328408,20
163,"Sloane Avenue, Knightsbridge",51.4931848,-0.167894973,27
164,"Cleveland Gardens, Bayswater",51.515607,-0.183118788,16
165,"Orsett Terrace, Bayswater",51.517932,-0.183716959,15
166,"Seville Street, Knightsbridge",51.50185512,-0.159237081,27
167,"Eccleston Place, Victoria",51.49395092,-0.147624377,19
168,"Argyll Road, Kensington",51.50040123,-0.195455928,19
169,"Porchester Place, Paddington",51.51474612,-0.165164288,18
170,"Hardwick Street, Clerkenwell",51.52784273,-0.108068155,30
171,"Collingham Gardens, Earl's Court",51.4916156,-0.186753859,14
172,"Sumner Place, South Kensington",51.49121192,-0.173715911,19
173,"Waterloo Road, South Bank",51.50486,-0.113001,15
174,"Strand, Strand",51.512529,-0.115163,36
175,"Appold Street, Liverpool Street",51.52174384,-0.0811189,26
176,"Gloucester Terrace, Bayswater",51.51791921,-0.188098863,23
177,"Ashley Place, Victoria",51.49616092,-0.140947636,25
178,"Warwick Square, Pimlico",51.48985626,-0.141923621,19
180,"North Audley Street, Mayfair",51.5129118,-0.153645496,17
181,"Belgrave Square, Belgravia",51.49941247,-0.152317537,21
182,"Bell Street , Marylebone",51.52202903,-0.165842551,18
183,"Riverlight North, Nine Elms",51.482362,-0.13612398,24
184,"Portland Place, Marylebone",51.52071513,-0.14521173,34
185,"Alderney Street, Pimlico",51.48805753,-0.140741432,14
186,"South Wharf Road, Paddington",51.51733558,-0.175810943,16
187,"Queen's Gate (South), South Kensington",51.49247977,-0.178433004,25
188,"Nutford Place, Marylebone",51.5165179,-0.164393768,18
189,"Claremont Square, Angel",51.53166681,-0.109914711,18
190,"Rampayne Street, Pimlico",51.48997562,-0.132845681,21
191,"Hyde Park Corner, Hyde Park",51.50311799,-0.153520935,28
192,"Wardour Street, Soho",51.51251523,-0.133201961,16
193,"Bankside Mix, Bankside",51.50581776,-0.100186337,60
194,"Hop Exchange, The Borough",51.50462759,-0.091773776,56
195,"Milroy Walk, South Bank",51.50724437,-0.106237501,30
196,"Union Street, The Borough",51.50368837,-0.098497684,17
197,"Stamford Street, South Bank",51.50556905,-0.111606696,27
199,"Great Tower Street, Monument",51.51048489,-0.082989638,24
200,"LMU Commercial Road, Whitechapel",51.51492456,-0.066078037,14
201,"Dorset Square, Marylebone",51.5225965,-0.161113413,16
202,"Leman Street, Aldgate",51.51236389,-0.06954201,37
203,"West Smithfield Rotunda, Farringdon",51.51821864,-0.100791005,15
204,"Margery Street, Clerkenwell",51.52659961,-0.112432615,19
206,"New Road 1 , Whitechapel",51.518154,-0.062697,36
207,"Grosvenor Crescent, Belgravia",51.50135267,-0.153194766,18
208,"Mallory Street, Marylebone",51.52505151,-0.166304359,20
209,"Denyer Street, Knightsbridge",51.49358391,-0.165101392,30
210,"Hinde Street, Marylebone",51.51681444,-0.151926305,21
211,"Cadogan Place, Knightsbridge",51.49464523,-0.158105512,34
212,"Campden Hill Road, Notting Hill",51.50658458,-0.199004026,17
213,"Wellington Arch, Hyde Park",51.50274025,-0.149569201,36
214,"Endsleigh Gardens, Euston",51.52683806,-0.130504336,32
216,"Old Brompton Road, South Kensington",51.49094565,-0.181190899,30
217,"Wormwood Street, Liverpool Street",51.51615461,-0.082422399,16
218,"St. Luke's Church, Chelsea",51.48971651,-0.170194408,20
219,"Bramham Gardens, Earl's Court",51.49016361,-0.19039362,29
220,"Chelsea Green, Chelsea",51.49066456,-0.166485083,27
221,"Horseferry Road, Westminster",51.49481649,-0.13045856,16
222,"Knightsbridge, Hyde Park",51.50275704,-0.155349725,43
223,"Rodney Road , Walworth",51.49148474,-0.090220911,24
224,"Whiteley's, Bayswater",51.51476963,-0.188129731,16
225,"Notting Hill Gate Station, Notting Hill",51.50935342,-0.196422,30
226,"Charles II Street, West End",51.50844614,-0.131961389,24
227,"Great Percy Street, Clerkenwell",51.52891573,-0.115480888,23
228,"St. James's Square, St. James's",51.50742485,-0.134621209,40
229,"Whitehall Place, Strand",51.50654321,-0.123179697,24
230,"Poured Lines, Bankside",51.50669284,-0.103137426,31
231,"Queen's Gate (Central), South Kensington",51.49396755,-0.17873226,31
232,"Carey Street, Holborn",51.51501025,-0.112753217,16
233,"Pall Mall East, West End",51.50777049,-0.130699733,22
234,"Liverpool Road (N1 Centre), Angel",51.53450449,-0.106992706,24
235,"Kennington Road  , Vauxhall",51.49571828,-0.110889274,36
236,"Fashion Street, Whitechapel",51.51838043,-0.073438925,30
237,"Dock Street, Wapping",51.5097860151,-0.0681619805,30
238,"Frampton Street, Paddington",51.5233534,-0.175116099,32
239,"Warren Street Station, Euston",51.52443845,-0.138019439,26
240,"Colombo Street, Southwark",51.50545935,-0.10569204,14
242,"Beaumont Street, Marylebone",51.52200801,-0.151359288,23
243,"Gloucester Street, Pimlico",51.49096258,-0.139625122,25
244,"Earnshaw Street , Covent Garden",51.51611887,-0.128585022,18
245,"Grosvenor Road, Pimlico",51.4853572,-0.142207481,29
246,"Berry Street, Clerkenwell",51.52285301,-0.099994052,41
247,"St. John's Wood Church, The Regent's Park",51.530052,-0.168314,50
248,"Triangle Car Park, Hyde Park",51.50645179,-0.170279555,27
249,"Harper Road, The Borough",51.49859784,-0.096191134,42
250,"Royal Avenue 1, Chelsea",51.489932,-0.162727,10
251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,34
252,"Jubilee Gardens, South Bank",51.5046364,-0.116542278,30
253,"Shoreditch Park, Hoxton",51.53404294,-0.086379717,30
254,"Chadwell Street, Angel",51.53051587,-0.106408455,18
255,"Clifton Road, Maida Vale",51.52557531,-0.179592915,22
256,"Houghton Street, Strand",51.51362054,-0.116764211,15
257,"Westminster University, Marylebone",51.52248185,-0.154907218,16
258,"Kensington Gore, Knightsbridge",51.50143293,-0.178656971,23
259,"Bourne Street, Belgravia",51.491495,-0.15400472,16
260,"Broadwick Street, Soho",51.5136846,-0.135580879,18
261,"Princes Square, Bayswater",51.5134891,-0.191351186,15
262,"LSBU (Borough Road), Elephant & Castle",51.49874469,-0.103132904,35
263,"St. Mary Axe, Aldgate",51.51422502,-0.080660083,21
264,"Tysoe Street, Clerkenwell",51.52644342,-0.109256828,20
265,"Southwick Street, Paddington",51.51595344,-0.169249375,17
266,"Queen's Gate (North), Kensington",51.50102668,-0.180246101,41
267,"Regency Street, Westminster",51.49206037,-0.132224622,22
268,"Belgrave Road, Victoria",51.49320445,-0.144132875,29
269,"Empire Square, The Borough",51.50082346,-0.089740764,46
270,"Kennington Lane Rail Bridge, Vauxhall",51.4863434,-0.122492418,31
271,"London Zoo,  The Regent's Park",51.53583617,-0.156285395,32
272,"Baylis Road, Waterloo",51.50144456,-0.110699309,22
273,"Belvedere Road 1, South Bank",51.50613324,-0.114686385,38
274,"Warwick Road, Olympia",51.49671237,-0.20528437,36
275,"Barbican Centre, Barbican",51.52004497,-0.092176447,19
276,"Lower Thames Street, Monument",51.50930161,-0.084985356,24
278,"Tooley Street, Bermondsey",51.5034938,-0.07962099,17
279,"North Wharf Road, Paddington",51.51862243,-0.176645823,25
280,"Royal Avenue 2, Chelsea",51.490083,-0.162418,10
281,"Smith Square, Westminster",51.49580589,-0.127575233,18
282,"Royal London Hospital, Whitechapel",51.51906446,-0.059642081,42
283,"Kingsway, Covent Garden",51.51440928,-0.118478757,16
284,"Lambeth North Station, Waterloo",51.49914063,-0.112031483,20
286,"St. John's Wood Road, St. John's Wood",51.5272947,-0.174653609,35
287,"Bedford Way, Bloomsbury",51.52367314,-0.128377673,23
288,"Elizabeth Bridge, Victoria",51.49236962,-0.147478734,34
289,"South Audley Street, Mayfair",51.50923022,-0.151296092,15
290,"Winsland Street, Paddington",51.51678023,-0.175488803,15
291,"Claverton Street, Pimlico",51.48483991,-0.138089062,32
292,"Montpelier Street, Knightsbridge",51.49888404,-0.165471605,16
293,"Kensington Olympia Station, Olympia",51.49815779,-0.209494128,25
294,"St. George's Square, Pimlico",51.488226,-0.135635511,16
295,"Swan Street, The Borough",51.50029631,-0.092762704,27
296,"Knaresborough Place, Earl's Court",51.49363156,-0.190603326,18
297,"Geraldine Street, Elephant & Castle",51.49612799,-0.106000855,17
298,"Curlew Street, Shad Thames",51.50227992,-0.074189225,21
299,"Vincent Square, Westminster",51.49398524,-0.136928582,19
300,"Serpentine Car Park, Hyde Park",51.505014,-0.17306032,18
301,"Marylebone Lane, Marylebone",51.51475963,-0.148105415,24
302,"Putney Pier, Wandsworth",51.466907,-0.216573,28
303,"Albert Gate, Hyde Park",51.50295379,-0.158456089,28
305,"Kennington Lane Tesco, Vauxhall",51.48677988,-0.115853961,15
306,"Rathbone Street, Fitzrovia ",51.51816295,-0.135025698,16
307,"Black Lion Gate, Kensington Gardens",51.50990837,-0.187842717,23
308,"Long Lane , Bermondsey",51.49907558,-0.085666316,20
309,"Embankment (Savoy), Strand",51.50963123,-0.119047563,41
310,"Black Prince Road, Vauxhall",51.4908679,-0.116911864,19
311,"Foley Street, Fitzrovia",51.51918144,-0.140485596,24
312,"Grove End Road, St. John's Wood",51.53088935,-0.176770502,20
313,"Wells Street, Fitzrovia ",51.51734403,-0.138072691,37
314,"Tyers Gate, Bermondsey",51.50088934,-0.083159352,36
