,dt_iso,temp,humidity,wind_speed,clouds_all
160,2016-05-30 07:00:00,284.95,87,4,88
161,2016-05-30 08:00:00,285.06,82,5,88
162,2016-05-30 09:00:00,285.79,82,4,75
163,2016-05-30 10:00:00,285.82,82,6,75
164,2016-05-30 11:00:00,286.15,82,4,75
165,2016-05-30 12:00:00,286.64,76,5,75
166,2016-05-30 13:00:00,287.26,77,6,75
167,2016-05-30 14:00:00,287.69,77,6,75
168,2016-05-30 15:00:00,288.14,77,6,75
169,2016-05-30 16:00:00,288.78,67,6,75
170,2016-05-30 17:00:00,289.16,67,5,75
171,2016-05-30 18:00:00,289.27,67,5,75
172,2016-05-30 19:00:00,289.37,63,6,75
173,2016-05-30 20:00:00,289.2,59,7,20
174,2016-05-30 21:00:00,288.5,63,6,0
175,2016-05-30 22:00:00,287.91,59,6,0
176,2016-05-30 23:00:00,287.2,67,5,80
177,2016-05-31 00:00:00,286.65,62,7,92
178,2016-05-31 01:00:00,286.21,67,6,92
179,2016-05-31 02:00:00,285.56,71,6,92
180,2016-05-31 03:00:00,285.24,76,7,75
182,2016-05-31 04:00:00,284.98,81,6,92
183,2016-05-31 05:00:00,284.54,81,8,92
184,2016-05-31 06:00:00,284.43,81,7,92
186,2016-05-31 07:00:00,284.49,81,7,90
188,2016-05-31 08:00:00,284.25,93,7,75
190,2016-05-31 09:00:00,284.11,93,12,90
192,2016-05-31 10:00:00,284.12,93,8,75
194,2016-05-31 11:00:00,284.27,93,5,75
196,2016-05-31 12:00:00,284.54,87,7,75
198,2016-05-31 13:00:00,284.68,87,6,75
199,2016-05-31 14:00:00,285.06,93,10,90
201,2016-05-31 15:00:00,285.21,82,6,75
203,2016-05-31 16:00:00,285.24,87,6,75
205,2016-05-31 17:00:00,285.2,82,8,75
207,2016-05-31 18:00:00,285.18,82,7,75
209,2016-05-31 19:00:00,284.96,82,6,75
211,2016-05-31 20:00:00,284.96,87,5,75
213,2016-05-31 21:00:00,284.94,87,6,75
215,2016-05-31 22:00:00,284.91,87,4,75
217,2016-05-31 23:00:00,284.86,87,5,92
218,2016-06-01 00:00:00,284.91,87,5,92
221,2016-06-01 01:00:00,284.9,87,4,92
223,2016-06-01 02:00:00,284.9,100,6,90
224,2016-06-01 03:00:00,285.02,87,3,92
227,2016-06-01 04:00:00,284.98,87,3,92
229,2016-06-01 05:00:00,285.04,87,3,92
231,2016-06-01 06:00:00,284.91,93,3,92
234,2016-06-01 07:00:00,284.89,93,3,75
237,2016-06-01 08:00:00,285.01,93,4,75
240,2016-06-01 09:00:00,285.21,87,4,75
243,2016-06-01 10:00:00,285.29,87,5,75
246,2016-06-01 11:00:00,285.45,87,5,90
249,2016-06-01 12:00:00,285.44,87,6,75
251,2016-06-01 13:00:00,285.68,87,4,75
254,2016-06-01 14:00:00,285.75,87,5,75
257,2016-06-01 15:00:00,285.67,87,5,20
259,2016-06-01 16:00:00,285.75,87,5,75
262,2016-06-01 17:00:00,285.86,87,5,75
264,2016-06-01 18:00:00,285.56,87,5,75
267,2016-06-01 19:00:00,285.57,87,4,75
270,2016-06-01 20:00:00,285.3,87,4,75
273,2016-06-01 21:00:00,285.17,87,5,75
275,2016-06-01 22:00:00,284.7,93,6,75
277,2016-06-01 23:00:00,284.59,93,6,92
280,2016-06-02 00:00:00,284.3,87,5,92
282,2016-06-02 01:00:00,284.17,87,5,92
284,2016-06-02 02:00:00,283.88,93,5,92
287,2016-06-02 03:00:00,283.63,93,4,92
291,2016-06-02 04:00:00,283.26,87,5,92
294,2016-06-02 05:00:00,283.14,87,4,92
297,2016-06-02 06:00:00,283.1,87,4,92
299,2016-06-02 07:00:00,283.11,87,5,75
301,2016-06-02 08:00:00,283.17,81,6,75
302,2016-06-02 09:00:00,283.48,81,6,75
303,2016-06-02 10:00:00,283.86,81,5,75
304,2016-06-02 11:00:00,284.2,81,5,75
305,2016-06-02 12:00:00,284.69,76,7,75
306,2016-06-02 13:00:00,285.07,76,6,75
307,2016-06-02 14:00:00,285.68,76,6,75
308,2016-06-02 15:00:00,285.72,76,6,75
309,2016-06-02 16:00:00,285.68,81,6,75
310,2016-06-02 17:00:00,285.49,76,5,75
311,2016-06-02 18:00:00,285.17,76,6,75
312,2016-06-02 19:00:00,284.75,76,5,90
313,2016-06-02 20:00:00,284.38,81,6,75
314,2016-06-02 21:00:00,283.73,81,6,75
315,2016-06-02 22:00:00,283.42,81,5,75
316,2016-06-02 23:00:00,282.99,81,5,0
317,2016-06-03 00:00:00,282.9,87,5,0
318,2016-06-03 01:00:00,282.57,87,4,0
319,2016-06-03 02:00:00,282.49,87,3,0
320,2016-06-03 03:00:00,282.29,87,3,32
321,2016-06-03 04:00:00,282.27,87,3,32
322,2016-06-03 05:00:00,282.14,87,3,32
323,2016-06-03 06:00:00,282.1,87,4,64
324,2016-06-03 07:00:00,282.12,87,3,75
